"","NAME","YEAR","TEAM","TIME","DATE","MEETNAME","COURSE"
"46","Mueller, Lucas","JR-3","Carleton","24:52.6","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
"47","Meikle, Cameron","SR-4","Carleton","25:30.4","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
"48","Lavey, Stephen","SO-2","Carleton","25:41.0","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
"49","Bowman, Henry","FR-1","Carleton","25:52.1","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
"50","Santos, Ben","SO-2","Carleton","26:01.8","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
"51","Sather, Zak","FR-1","Carleton","26:16.1","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
"52","Wilkinson, Matthew","JR-3","Carleton","24:56.8","November 16, 2019
","NCAA Division III Central Region Cross Country Championships","
Wartburg College
Waverly, IA 50677
  "
"53","Mueller, Lucas","JR-3","Carleton","25:38.7","November 16, 2019
","NCAA Division III Central Region Cross Country Championships","
Wartburg College
Waverly, IA 50677
  "
"54","Meikle, Cameron","SR-4","Carleton","25:42.5","November 16, 2019
","NCAA Division III Central Region Cross Country Championships","
Wartburg College
Waverly, IA 50677
  "
"55","Bowman, Henry","FR-1","Carleton","26:11.4","November 16, 2019
","NCAA Division III Central Region Cross Country Championships","
Wartburg College
Waverly, IA 50677
  "
"56","Lavey, Stephen","SO-2","Carleton","26:18.0","November 16, 2019
","NCAA Division III Central Region Cross Country Championships","
Wartburg College
Waverly, IA 50677
  "
"57","Santos, Ben","SO-2","Carleton","26:19.7","November 16, 2019
","NCAA Division III Central Region Cross Country Championships","
Wartburg College
Waverly, IA 50677
  "
"58","Sather, Zak","FR-1","Carleton","26:29.5","November 16, 2019
","NCAA Division III Central Region Cross Country Championships","
Wartburg College
Waverly, IA 50677
  "
"59","Sather, Zak","FR-1","Carleton","27:40.0","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"60","Nystrom, Kenyon","SO-2","Carleton","28:07.8","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"61","Phelan, Conrad","SR-4","Carleton","28:32.7","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"62","Fong, Jeremy","FR-1","Carleton","28:42.0","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"63","Jones, Elijah","FR-1","Carleton","28:46.5","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"64","Nakasaka, Adam","SO-2","Carleton","28:48.4","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"65","Aoki-Sherwood, Ben","FR-1","Carleton","29:29.0","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"66","Shufro-Zletz, Jesse","SO-2","Carleton","29:50.4","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"67","Tydings, Clay","JR-3","Carleton","29:56.3","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"68","Bransky, Jacob","SR-4","Carleton","29:59.6","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"69","Cramer, John","FR-1","Carleton","30:16.9","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"70","Johnson, Parker","FR-1","Carleton","30:17.6","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"71","Schnieders, Ben","JR-3","Carleton","31:28.2","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"72","Watts, Avery","FR-1","Carleton","32:26.5","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"73","Hershewe, Edward","SR-4","Carleton","33:32.4","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"74","Christoph, Oscar","SO-2","Carleton","DNF","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  "
"75","Wilkinson, Matthew","JR-3","Carleton","24:37.4","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"76","Mueller, Lucas","JR-3","Carleton","24:59.0","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"77","Meikle, Cameron","SR-4","Carleton","25:19.7","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"78","Lavey, Stephen","SO-2","Carleton","26:04.8","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"79","Santos, Ben","SO-2","Carleton","26:07.5","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"80","Sather, Zak","FR-1","Carleton","26:11.1","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"81","Bowman, Henry","FR-1","Carleton","26:18.1","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"82","Chao, Ben","FR-1","Carleton","26:38.9","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"83","Nakasaka, Adam","SO-2","Carleton","26:44.4","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"84","Nystrom, Kenyon","SO-2","Carleton","26:53.3","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"85","Perry, Ben","SO-2","Carleton","26:59.8","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"86","David, Evan","JR-3","Carleton","27:08.8","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"87","Phelan, Conrad","SR-4","Carleton","27:22.1","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"88","Jones, Elijah","FR-1","Carleton","27:22.1","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"89","Tydings, Clay","JR-3","Carleton","27:29.9","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"90","Fong, Jeremy","FR-1","Carleton","27:41.0","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"91","Aoki-Sherwood, Ben","FR-1","Carleton","27:46.9","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"92","Bransky, Jacob","SR-4","Carleton","28:03.9","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"93","Shufro-Zletz, Jesse","SO-2","Carleton","28:05.1","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"94","Hershewe, Edward","SR-4","Carleton","28:24.9","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"95","Schnieders, Ben","JR-3","Carleton","28:27.7","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"96","Cramer, John","FR-1","Carleton","28:35.3","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"97","Johnson, Parker","FR-1","Carleton","28:56.1","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"98","Watts, Avery","FR-1","Carleton","29:11.0","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"99","Christoph, Oscar","SO-2","Carleton","29:18.8","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"100","Kuhs, Max","JR-3","Carleton","DNF","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  "
"101","Wilkinson, Matthew","JR-3","Carleton","24:21.4","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  "
"102","Meikle, Cameron","SR-4","Carleton","25:31.5","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  "
"103","Bowman, Henry","FR-1","Carleton","25:49.7","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  "
"104","Santos, Ben","SO-2","Carleton","25:54.5","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  "
"105","Mueller, Lucas","JR-3","Carleton","25:56.8","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  "
"106","Chao, Ben","FR-1","Carleton","26:04.4","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  "
"107","Lavey, Stephen","SO-2","Carleton","26:13.3","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  "
"108","Sather, Zak","FR-1","Carleton","26:19.7","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  "
"109","Nakasaka, Adam","SO-2","Carleton","26:45.6","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  "
"110","Tydings, Clay","JR-3","Carleton","27:06.0","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  "
"111","Aoki-Sherwood, Ben","FR-1","Carleton","27:10.7","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  "
"112","David, Evan","JR-3","Carleton","27:49.9","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  "
"113","Wilkinson, Matthew","JR-3","Carleton","24:58.3","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"114","Santos, Ben","SO-2","Carleton","25:30.3","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"115","Lavey, Stephen","SO-2","Carleton","25:35.2","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"116","Bowman, Henry","FR-1","Carleton","25:56.4","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"117","Chao, Ben","FR-1","Carleton","26:04.5","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"118","Sather, Zak","FR-1","Carleton","26:12.2","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"119","Nakasaka, Adam","SO-2","Carleton","26:19.2","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"120","David, Evan","JR-3","Carleton","26:43.3","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"121","Mueller, Lucas","JR-3","Carleton","26:49.0","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"122","Jones, Elijah","FR-1","Carleton","27:05.4","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"123","Nystrom, Kenyon","SO-2","Carleton","27:10.4","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"124","Fong, Jeremy","FR-1","Carleton","27:20.0","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"125","Aoki-Sherwood, Ben","FR-1","Carleton","27:22.2","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"126","Phelan, Conrad","SR-4","Carleton","27:24.1","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"127","Perry, Ben","SO-2","Carleton","27:34.9","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"128","Bransky, Jacob","SR-4","Carleton","27:41.0","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"129","Shufro-Zletz, Jesse","SO-2","Carleton","27:59.6","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"130","Tydings, Clay","JR-3","Carleton","28:06.5","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"131","Hershewe, Edward","SR-4","Carleton","28:07.5","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"132","Watts, Avery","FR-1","Carleton","28:09.1","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"133","Schnieders, Ben","JR-3","Carleton","28:21.3","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"134","Johnson, Parker","FR-1","Carleton","28:52.7","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"135","Christoph, Oscar","SO-2","Carleton","28:57.9","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"136","Holcomb, Henry","FR-1","Carleton","29:00.6","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  "
"137","Wilkinson, Matthew","JR-3","Carleton","25:24.7","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"138","Bowman, Henry","FR-1","Carleton","26:41.5","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"139","Chao, Ben","FR-1","Carleton","26:50.9","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"140","Santos, Ben","SO-2","Carleton","27:02.4","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"141","Meikle, Cameron","SR-4","Carleton","27:09.9","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"142","Nakasaka, Adam","SO-2","Carleton","27:28.2","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"143","David, Evan","JR-3","Carleton","27:44.0","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"144","Sather, Zak","FR-1","Carleton","27:59.6","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"145","Aoki-Sherwood, Ben","FR-1","Carleton","28:13.9","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"146","Fong, Jeremy","FR-1","Carleton","28:17.3","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"147","Lavey, Stephen","SO-2","Carleton","28:19.8","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"148","Tydings, Clay","JR-3","Carleton","28:34.0","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"149","Jones, Elijah","FR-1","Carleton","28:34.7","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"150","Nystrom, Kenyon","SO-2","Carleton","28:45.7","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"151","Phelan, Conrad","SR-4","Carleton","29:00.7","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"152","Shufro-Zletz, Jesse","SO-2","Carleton","29:17.9","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"153","Bransky, Jacob","SR-4","Carleton","29:30.0","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"154","Watts, Avery","FR-1","Carleton","29:34.1","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"155","Christoph, Oscar","SO-2","Carleton","29:43.7","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"156","Hershewe, Edward","SR-4","Carleton","29:48.8","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"157","Cramer, John","FR-1","Carleton","30:24.6","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"158","Johnson, Parker","FR-1","Carleton","31:54.6","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  "
"159","D'Anieri, Thomas","SR-4","Claremont-Mudd-Scripps","24:25.2","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
"160","van Schendel, Kyril","SO-2","Claremont-Mudd-Scripps","24:58.8","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
"161","Steinberg, Stevie","JR-3","Claremont-Mudd-Scripps","25:08.0","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
"162","Pick, Henry","FR-1","Claremont-Mudd-Scripps","25:23.8","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
"163","Christensen, Miles","SO-2","Claremont-Mudd-Scripps","25:24.3","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
"164","Kimball, Will","JR-3","Claremont-Mudd-Scripps","25:31.0","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
"165","Krasemann, Daniel","FR-1","Claremont-Mudd-Scripps","26:12.4","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
"166","Steinberg, Stevie","JR-3","Claremont-Mudd-Scripps","25:16.8","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"167","van Schendel, Kyril","SO-2","Claremont-Mudd-Scripps","25:17.8","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"168","Christensen, Miles","SO-2","Claremont-Mudd-Scripps","25:23.4","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"169","Kimball, Will","JR-3","Claremont-Mudd-Scripps","25:47.5","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"170","Krasemann, Daniel","FR-1","Claremont-Mudd-Scripps","26:16.6","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"171","Ives, Wilson","SR-4","Claremont-Mudd-Scripps","26:18.0","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"172","Pick, Henry","FR-1","Claremont-Mudd-Scripps","26:28.4","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"173","D'Anieri, Thomas","SR-4","Claremont-Mudd-Scripps","24:52.0","November  2, 2019
","2019 SCIAC Cross Country Championships","
Pomona Pitzer
Claremont, CA 91711
  "
"174","Christensen, Miles","SO-2","Claremont-Mudd-Scripps","25:12.2","November  2, 2019
","2019 SCIAC Cross Country Championships","
Pomona Pitzer
Claremont, CA 91711
  "
"175","Steinberg, Stevie","JR-3","Claremont-Mudd-Scripps","25:16.6","November  2, 2019
","2019 SCIAC Cross Country Championships","
Pomona Pitzer
Claremont, CA 91711
  "
