"","NAME","YEAR","TEAM","TIME","DATE","MEETNAME","COURSE"
"29","Chapman, Zachary","SO-2","North Central (Ill.)","25:38.0","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"30","Michael, Zack","JR-3","North Central (Ill.)","25:43.5","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"31","Shroda, Bjorn","JR-3","North Central (Ill.)","25:45.8","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"32","Benes, Cameron","FR-1","North Central (Ill.)","26:00.7","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"33","Bertulis, Timothy","FR-1","North Central (Ill.)","26:05.5","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"34","Holley, Nathan","SR-4","North Central (Ill.)","26:22.7","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"35","Sebastian, Brendon","SO-2","North Central (Ill.)","26:27.3","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"36","Harris, Dolan","SO-2","North Central (Ill.)","26:28.0","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"37","Koch, Campbell","FR-1","North Central (Ill.)","26:33.8","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"38","Swisher, Jackson","FR-1","North Central (Ill.)","26:37.9","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"39","Ziolkowski, Ryan","JR-3","North Central (Ill.)","26:43.0","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"40","Andemichael, Youel","FR-1","North Central (Ill.)","26:56.3","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"41","Johnson, Joshua","FR-1","North Central (Ill.)","27:16.7","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"42","Todd-Middleditch, Stuart","SO-2","North Central (Ill.)","27:23.9","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"43","McQuality, Tanner","JR-3","North Central (Ill.)","28:14.4","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"44","Rankin, Parker","FR-1","North Central (Ill.)","28:24.5","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"45","Newson, Nathaniel","FR-1","North Central (Ill.)","28:54.4","October 27, 2018
","CCIW Conference Open","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"46","Patel, Dhruvil","SR-4","North Central (Ill.)","25:03.5","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"47","Osmulski, Matt","JR-3","North Central (Ill.)","25:13.4","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"48","Baldonado, Al","SR-4","North Central (Ill.)","25:17.1","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"49","Norvell, Matthew","SR-4","North Central (Ill.)","25:19.2","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"50","Buechner, Chris","SR-4","North Central (Ill.)","25:42.3","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"51","McKenna, Nolan","SR-4","North Central (Ill.)","25:51.8","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"52","Hird, Zach","SR-4","North Central (Ill.)","25:55.5","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"53","Pommier, Gabriel","SO-2","North Central (Ill.)","26:18.1","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"54","Beutel, Alec","JR-3","North Central (Ill.)","26:29.7","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"55","Rohr, Thomas","FR-1","North Central (Ill.)","26:29.8","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"56","Anderson, Michael","SR-4","North Central (Ill.)","26:32.8","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"57","Boelke, Matthew","FR-1","North Central (Ill.)","26:40.6","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"58","Jaskowiak, Jacob","SR-4","North Central (Ill.)","26:57.3","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"59","Michael, Zack","JR-3","North Central (Ill.)","26:59.4","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"60","Koch, Campbell","FR-1","North Central (Ill.)","27:05.2","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"61","Cobb, Mikey","SR-4","North Central (Ill.)","27:05.5","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"62","Swisher, Jackson","FR-1","North Central (Ill.)","27:52.3","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"63","Hird, Zach","SR-4","North Central (Ill.)","25:38.0","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"64","Cobb, Mikey","SR-4","North Central (Ill.)","26:17.3","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"65","Swisher, Jackson","FR-1","North Central (Ill.)","26:34.4","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"66","Koch, Campbell","FR-1","North Central (Ill.)","26:38.0","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"67","Bertulis, Timothy","FR-1","North Central (Ill.)","26:45.1","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"68","Chapman, Zachary","SO-2","North Central (Ill.)","26:45.1","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"69","Ziolkowski, Ryan","JR-3","North Central (Ill.)","26:56.5","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"70","Shroda, Bjorn","JR-3","North Central (Ill.)","27:04.2","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"71","Sebastian, Brendon","SO-2","North Central (Ill.)","27:09.7","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"72","Benes, Cameron","FR-1","North Central (Ill.)","27:09.9","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"73","Harris, Dolan","SO-2","North Central (Ill.)","27:18.5","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"74","Johnson, Joshua","FR-1","North Central (Ill.)","27:55.8","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"75","Walters, Blake","FR-1","North Central (Ill.)","28:05.0","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"76","Holley, Nathan","SR-4","North Central (Ill.)","28:24.3","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"77","Andemichael, Youel","FR-1","North Central (Ill.)","28:25.8","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"78","McQuality, Tanner","JR-3","North Central (Ill.)","28:42.5","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"79","Rankin, Parker","FR-1","North Central (Ill.)","29:18.7","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"80","Newson, Nathaniel","FR-1","North Central (Ill.)","30:32.0","October  05, 2018
","Benedictine Eagle Invite","
St. James Forest Preserve
Warrenville, IL 60555
  "
"81","Hodkinson, Brad","SR-4","Washington U.","24:39.1","November 17, 2018
","NCAA Division III Cross Country Championships","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"82","Matteucci, Nick","JR-3","Washington U.","24:43.9","November 17, 2018
","NCAA Division III Cross Country Championships","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"83","Johnsrud, Peter","SR-4","Washington U.","24:54.9","November 17, 2018
","NCAA Division III Cross Country Championships","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"84","O'gara, David","SR-4","Washington U.","25:02.8","November 17, 2018
","NCAA Division III Cross Country Championships","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"85","Stover, Joe","SO-2","Washington U.","25:12.8","November 17, 2018
","NCAA Division III Cross Country Championships","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"86","Simon , Kirby","SR-4","Washington U.","25:27.9","November 17, 2018
","NCAA Division III Cross Country Championships","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"87","Quaroni, Marco","JR-3","Washington U.","26:12.9","November 17, 2018
","NCAA Division III Cross Country Championships","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"88","Hodkinson, Brad","SR-4","Washington U.","24:31.8","November 10, 2018
","NCAA Division III Midwest Region Cross Country Championships","
Wis.-Eau Claire (Eastern Deadline)
Eau Claire, WI 54702
  "
"89","Matteucci, Nick","JR-3","Washington U.","25:01.1","November 10, 2018
","NCAA Division III Midwest Region Cross Country Championships","
Wis.-Eau Claire (Eastern Deadline)
Eau Claire, WI 54702
  "
"90","Johnsrud, Peter","SR-4","Washington U.","25:05.6","November 10, 2018
","NCAA Division III Midwest Region Cross Country Championships","
Wis.-Eau Claire (Eastern Deadline)
Eau Claire, WI 54702
  "
"91","Stover, Joe","SO-2","Washington U.","25:16.3","November 10, 2018
","NCAA Division III Midwest Region Cross Country Championships","
Wis.-Eau Claire (Eastern Deadline)
Eau Claire, WI 54702
  "
"92","O'gara, David","SR-4","Washington U.","25:38.6","November 10, 2018
","NCAA Division III Midwest Region Cross Country Championships","
Wis.-Eau Claire (Eastern Deadline)
Eau Claire, WI 54702
  "
"93","Quaroni, Marco","JR-3","Washington U.","25:52.0","November 10, 2018
","NCAA Division III Midwest Region Cross Country Championships","
Wis.-Eau Claire (Eastern Deadline)
Eau Claire, WI 54702
  "
"94","Blagg, Chris","SR-4","Washington U.","26:25.7","November 10, 2018
","NCAA Division III Midwest Region Cross Country Championships","
Wis.-Eau Claire (Eastern Deadline)
Eau Claire, WI 54702
  "
"95","Hodkinson, Brad","SR-4","Washington U.","25:19.8","October 28, 2018
","2018 UAA Cross Country Championships","
Wayne E. Dannehl National Cross Country
Somers, WI 60637
  "
"96","O'gara, David","SR-4","Washington U.","25:23.0","October 28, 2018
","2018 UAA Cross Country Championships","
Wayne E. Dannehl National Cross Country
Somers, WI 60637
  "
"97","Johnsrud, Peter","SR-4","Washington U.","25:45.3","October 28, 2018
","2018 UAA Cross Country Championships","
Wayne E. Dannehl National Cross Country
Somers, WI 60637
  "
"98","Blagg, Chris","SR-4","Washington U.","26:06.8","October 28, 2018
","2018 UAA Cross Country Championships","
Wayne E. Dannehl National Cross Country
Somers, WI 60637
  "
"99","Norrick, Patrick","FR-1","Washington U.","26:13.8","October 28, 2018
","2018 UAA Cross Country Championships","
Wayne E. Dannehl National Cross Country
Somers, WI 60637
  "
"100","Mitchell, Scott","SO-2","Washington U.","26:14.5","October 28, 2018
","2018 UAA Cross Country Championships","
Wayne E. Dannehl National Cross Country
Somers, WI 60637
  "
"101","Trimark, Noah","JR-3","Washington U.","26:22.0","October 28, 2018
","2018 UAA Cross Country Championships","
Wayne E. Dannehl National Cross Country
Somers, WI 60637
  "
"102","Sebok, Jack","SR-4","Washington U.","26:26.6","October 28, 2018
","2018 UAA Cross Country Championships","
Wayne E. Dannehl National Cross Country
Somers, WI 60637
  "
"103","Cera, Tucker","SO-2","Washington U.","26:29.3","October 28, 2018
","2018 UAA Cross Country Championships","
Wayne E. Dannehl National Cross Country
Somers, WI 60637
  "
"104","Simon , Kirby","SR-4","Washington U.","26:51.5","October 28, 2018
","2018 UAA Cross Country Championships","
Wayne E. Dannehl National Cross Country
Somers, WI 60637
  "
"105","Hodkinson, Brad","SR-4","Washington U.","25:19.8","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"106","O'gara, David","SR-4","Washington U.","25:29.0","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"107","Matteucci, Nick","JR-3","Washington U.","25:35.0","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"108","Johnsrud, Peter","SR-4","Washington U.","25:38.7","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"109","Blagg, Chris","SR-4","Washington U.","25:53.6","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"110","Stover, Joe","SO-2","Washington U.","26:27.3","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"111","Trimark, Noah","JR-3","Washington U.","26:23.1","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"112","Cera, Tucker","SO-2","Washington U.","26:24.7","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"113","Sebok, Jack","SR-4","Washington U.","26:27.5","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"114","Mitchell, Scott","SO-2","Washington U.","26:30.8","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"115","Norrick, Patrick","FR-1","Washington U.","26:38.2","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"116","Ridderhoff, Jacob","FR-1","Washington U.","26:46.8","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"117","Fruhauf, Thomas","SR-4","Washington U.","26:56.6","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"118","d'Ambrosio, Paul","SR-4","Washington U.","26:59.7","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"119","Ten Eyck, Eli","FR-1","Washington U.","27:04.0","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"120","Rutledge, Connor","FR-1","Washington U.","27:04.0","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"121","Jenkins, Matthew","SR-4","Washington U.","27:06.5","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"122","Hyde, Jack","JR-3","Washington U.","27:14.4","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"123","Cepeda, Kyle","SR-4","Washington U.","27:19.5","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"124","Ly, Michael","FR-1","Washington U.","27:21.5","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"125","Christensen, Zac","SR-4","Washington U.","27:28.5","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"126","Bishnupuri, Pratyay","SO-2","Washington U.","27:39.1","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"127","Cobin, Alex","FR-1","Washington U.","27:41.2","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"128","Gersch, Ben","JR-3","Washington U.","27:45.9","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"129","Wright, Connor","FR-1","Washington U.","28:20.1","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"130","Brdicko, Nicholas","FR-1","Washington U.","28:42.4","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"131","Cadden, Liam","FR-1","Washington U.","29:13.9","October 13, 2018
","KollegeTown Pre National Meet","
 Lake Breeze Golf Club
 Winneconne,   WI 12345
  "
"132","Hodkinson, Brad","SR-4","Washington U.","25:21.7","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"133","Johnsrud, Peter","SR-4","Washington U.","25:23.9","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"134","Matteucci, Nick","JR-3","Washington U.","25:24.1","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"135","Quaroni, Marco","JR-3","Washington U.","25:24.8","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"136","O'gara, David","SR-4","Washington U.","25:25.1","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"137","Simon , Kirby","SR-4","Washington U.","25:33.9","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"138","Stover, Joe","SO-2","Washington U.","25:47.8","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"139","Trimark, Noah","JR-3","Washington U.","26:07.9","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"140","Mitchell, Scott","SO-2","Washington U.","26:09.5","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"141","Sebok, Jack","SR-4","Washington U.","26:14.4","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"142","Ridderhoff, Jacob","FR-1","Washington U.","26:14.8","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"143","Warden, Chas","SR-4","Washington U.","26:15.0","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"144","Cera, Tucker","SO-2","Washington U.","26:15.5","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"145","Rutledge, Connor","FR-1","Washington U.","26:15.5","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"146","Ly, Michael","FR-1","Washington U.","26:19.8","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"147","d'Ambrosio, Paul","SR-4","Washington U.","26:22.3","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"148","Fruhauf, Thomas","SR-4","Washington U.","26:29.9","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"149","Norrick, Patrick","FR-1","Washington U.","26:45.3","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"150","Ten Eyck, Eli","FR-1","Washington U.","26:50.6","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"151","Gersch, Ben","JR-3","Washington U.","26:52.7","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"152","Hyde, Jack","JR-3","Washington U.","26:53.4","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"153","Cepeda, Kyle","SR-4","Washington U.","26:56.3","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"154","Cobin, Alex","FR-1","Washington U.","27:07.3","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
"155","Wright, Connor","FR-1","Washington U.","27:10.6","September 15, 2018
","Wheaton Gil Dodds Invitational","
St. James Forest Preserve
2S541 Winfield Road
Warrenville, IL 60555
  "
